actor_1,actor_2,joint_films,joint_avg_perf,solo_avg_1,solo_avg_2,uplift
Nawazuddin Siddiqui,Salman Khan,2,1.8693,1.7706,1.7875,0.0818
Jimmy Sheirgill,Kangana Ranaut,2,1.8068,1.7509,1.7242,0.0559
Mastan Alibhai Burmawalla,Saif Ali Khan,2,1.8106,1.7574,1.7385,0.0532
Aamir Khan,Katrina Kaif,2,1.8568,1.7752,1.808,0.0489
Danny Denzongpa,Kangana Ranaut,2,1.8143,1.7654,1.7242,0.0488
Amitabh Bachchan,Rani Mukerji,4,1.8208,1.7534,1.7735,0.0474
Salman Khan,Sonakshi Sinha,3,1.8332,1.7875,1.737,0.0457
Aishwarya Rai Bachchan,Amitabh Bachchan,2,1.8205,1.7776,1.7534,0.0429
Akshay Kumar,Riteish Deshmukh,3,1.8145,1.7732,1.766,0.0414
Akshay Kumar,Vidya Balan,2,1.8174,1.7732,1.7766,0.0409
